App_Name,Review,Platforms,Link,Age_Rating,Date_Published
Zynn,2,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/zynn,18,2020-06-04
Takenoko,2,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/takenoko,6,2020-06-03
Potion Explosion,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/potion-explosion,6,2020-06-03
Genshin Impact,4,"iPhone, iPod Touch, iPad, Windows app",https://www.commonsensemedia.org/app-reviews/genshin-impact,10,2020-12-18
Mana Monsters,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/mana-monsters,8,2020-12-14
Gnomitaire,2,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/gnomitaire,8,2020-12-11
Frostborn: Coop Survival,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/frostborn-coop-survival,10,2020-12-07
Project Makeover,2,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/project-makeover,8,2020-12-04
Invisigun Reloaded,3,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/invisigun-reloaded,8,2020-11-30
Little Owl - Rhymes for Kid‪s,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/little-owl-rhymes-for-kids,2,2021-03-15
Opal - Save Time Dail‪y,4,"iPhone, iPod Touch",https://www.commonsensemedia.org/app-reviews/opal-save-time-daily,13,2021-03-12
Disney Frozen Adventures,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/disney-frozen-adventures,4,2021-03-12
Kid E Cats. Educationa‪l‬,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/kid-e-cats-educational,4,2021-03-12
Dragon Quest Tact,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/dragon-quest-tact,10,2021-02-05
Clubhouse: Drop-in Audio Chat,3,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/clubhouse-drop-in-audio-chat,18,2021-02-05
The Captain Is Dead,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/the-captain-is-dead,8,2021-02-01
Kinzoo Messenger for Families,5,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/kinzoo-messenger-for-families,6,2021-01-31
Figment: Journey Into the Mind,4,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/figment-journey-into-the-mind,8,2021-01-29
EduDo: Learn with short videos,2,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/edudo-learn-with-short-videos,13,2021-01-28
Magic: ManaStrike,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/magic-manastrike,10,2020-07-28
RogueJack: Roguelike BlackJack,4,"iPhone, iPad, Android",https://www.commonsensemedia.org/app-reviews/roguejack-roguelike-blackjack,8,2020-07-24
A Starting Point,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/a-starting-point,16,2020-07-24
Peacock TV,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/peacock-tv,10,2020-07-23
Pick Your Plate!,4,"iPhone, iPod Touch, iPad, Android, Kindle Fire",https://www.commonsensemedia.org/app-reviews/pick-your-plate,5,2020-07-22
BlockStarPlanet,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/blockstarplanet,11,2020-07-22
Climb – English Vocabulary,4,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/climb-english-vocabulary,13,2020-07-22
Spirit Riding Free Trick Challenge,3,"iPhone, iPad, Android",https://www.commonsensemedia.org/app-reviews/spirit-riding-free-trick-challenge,6,2020-01-25
G.I. Joe: War on Cobra,4,"iPhone, iPad, Android",https://www.commonsensemedia.org/app-reviews/gi-joe-war-on-cobra,11,2020-01-21
Spies in Disguise: Agents on the Run,2,"iPhone, iPad, Android",https://www.commonsensemedia.org/app-reviews/spies-in-disguise-agents-on-the-run,8,2019-12-25
Jumanji: Epic Run,3,"iPhone, iPad, Android",https://www.commonsensemedia.org/app-reviews/jumanji-epic-run,10,2019-12-20
Rocket Buddy,1,"iPhone, iPad, Android",https://www.commonsensemedia.org/app-reviews/rocket-buddy,8,2019-12-20
Sugar Smash: The Book of Life,3,"iPhone, iPad, Android",https://www.commonsensemedia.org/app-reviews/sugar-smash-the-book-of-life,8,2019-11-22
Walkie-talkie - COMMUNICATION,2,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/walkie-talkie-communication,15,2019-11-21
Minecraft Earth,4,"iPhone, iPad, Android",https://www.commonsensemedia.org/app-reviews/minecraft-earth,9,2019-11-21
WhatsApp Messenger,4,"iPhone, Mac, Android, Windows app",https://www.commonsensemedia.org/app-reviews/whatsapp-messenger,14,2019-11-20
Zizzle Inventions,3,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/zizzle-inventions,4,2019-11-06
Disney Princess Magic Quest,4,"iPhone, iPad, Android",https://www.commonsensemedia.org/app-reviews/disney-princess-magic-quest,3,2019-11-06
RaceCraft - Build & Race,4,"iPhone, iPod Touch, iPad, Android",https://www.commonsensemedia.org/app-reviews/racecraft-build-race,6,2020-04-03
Spotify Kids,4,"iPhone, iPod Touch, iPad",https://www.commonsensemedia.org/app-reviews/spotify-kids,4,2020-04-03
